"filename", "language", "C", "KASM", "Markdown", "C++", "C#", "XML", "JSON", "CMake", "comment", "blank", "total"
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\IdentifierToken.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 4, 13, 33
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\InstructionToken.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 3, 7, 27
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\IntegerLiteralToken.cs", "C#", 0, 0, 0, 0, 31, 0, 0, 0, 4, 12, 47
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\LabelToken.cs", "C#", 0, 0, 0, 0, 25, 0, 0, 0, 4, 10, 39
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\NewLineToken.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\RegisterToken.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 0, 4, 11, 49
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\Tokenizer.cs", "C#", 0, 0, 0, 0, 54, 0, 0, 0, 0, 20, 74
"d:\My Folders\Programming\C\km8\tools\kasm\kasm.csproj", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\My Folders\Programming\C\km8\tools\kasm\km8-isa-latest.json", "JSON", 0, 0, 0, 0, 0, 0, 415, 0, 0, 0, 415
"Total", "-", 1928, 5, 74, 94, 746, 17, 415, 111, 128, 808, 4326
